data,model,neg_multiple,sim_split,metric,mean,ci_lower,ci_upper,id
rcmcs,rc_agg,3,"(0.0, 0.4)",binary_precision,0.839030266758475,0.8183928388484786,0.8594043757447372,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.0, 0.4)",binary_recall,0.5618874118073036,0.5437555704099821,0.5733210086982679,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.0, 0.4)",accuracy,0.8217030711118409,0.8108515355559205,0.8302020036130727,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.0, 0.4)",roc_auc,0.9195069434529716,0.9138028994323607,0.9259365717687911,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.8, 1)",f1,0.8929568686383524,0.8782543821526873,0.9083001840926708,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.8, 1)",binary_precision,0.8552880464880825,0.8357763168272042,0.8705321318160889,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.8, 1)",binary_recall,0.9339621423585888,0.9201737263955178,0.9451363405756055,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.8, 1)",accuracy,0.9681945040790039,0.9660744954916273,0.9706955775010734,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.8, 1)",roc_auc,0.9802869635200089,0.9755079292544939,0.9845167688001522,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.6, 0.8)",f1,0.8621992968782657,0.8502945385085411,0.8786000326207881,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.6, 0.8)",binary_precision,0.8338570940348712,0.8153494416634579,0.8488685802595729,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.6, 0.8)",binary_recall,0.8954659959640068,0.8824813508249734,0.908606936225806,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.6, 0.8)",accuracy,0.9592414055562604,0.9542433083851326,0.9629043511353546,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.6, 0.8)",roc_auc,0.9802026229710382,0.9764235937329729,0.9838765560952136,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.4, 0.6)",f1,0.767263542527864,0.7456318219526293,0.7882577878194106,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.4, 0.6)",binary_precision,0.7816541929988648,0.7573265681437097,0.8044061676162321,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.4, 0.6)",binary_recall,0.7517297271756429,0.7344500646845608,0.7702939466608532,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.4, 0.6)",accuracy,0.9352818163712409,0.9288787094204342,0.9405646285600477,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.4, 0.6)",roc_auc,0.9557002279986957,0.9507661149908034,0.9617859595158871,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.0, 0.4)",f1,0.6274994951275967,0.6162196783955854,0.6429772007783683,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.0, 0.4)",binary_precision,0.772017050477056,0.7544477759190379,0.78653788727137,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.0, 0.4)",binary_recall,0.5343432302660053,0.5196458416210841,0.5478903310913981,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,5,"(0.0, 0.4)",accuracy,0.858087986463621,0.8501410039481105,0.8621009588268471,8a155bc5673b4c6aa8667dd55755fe0b
